time,open,high,low,close
2023-10-16 11:00:00,1150.72,1150.77,1148.38,1149.1
2023-10-16 13:00:00,1148.73,1151.11,1146.65,1148.59
2023-10-16 14:00:00,1148.51,1148.76,1140.64,1141.42
2023-10-17 09:00:00,1145.34,1146.71,1141.38,1141.38
2023-10-17 10:00:00,1141.29,1145.77,1140.75,1144.91
2023-10-17 11:00:00,1144.87,1147.83,1144.46,1147.64
2023-10-17 13:00:00,1147.42,1147.89,1141.29,1144.41
2023-10-17 14:00:00,1144.26,1144.65,1121.65,1121.65
2023-10-18 09:00:00,1121.65,1125.27,1116.11,1117.91
2023-10-18 10:00:00,1117.79,1119.29,1113.28,1116.08
2023-10-18 11:00:00,1116.09,1119.91,1116.09,1119.49
2023-10-18 13:00:00,1119.47,1121.69,1113.17,1113.17
2023-10-18 14:00:00,1113.3,1113.77,1088.87,1103.4
2023-10-19 09:00:00,1103.4,1104.03,1095.07,1099.09
2023-10-19 10:00:00,1098.99,1098.99,1088.76,1090.32
2023-10-19 11:00:00,1090.19,1094.81,1089.95,1094.26
2023-10-19 13:00:00,1094.42,1097.09,1088.7,1093.64
2023-10-19 14:00:00,1093.44,1100.71,1087.85,1087.85
2023-10-20 09:00:00,1087.85,1091.71,1084.76,1088.7
2023-10-20 10:00:00,1088.73,1089.3,1078.43,1078.55
2023-10-20 11:00:00,1078.41,1078.41,1073.73,1077.1
2023-10-20 13:00:00,1076.72,1092.19,1076.06,1090.05
2023-10-20 14:00:00,1090.04,1108.16,1089.88,1108.03
2023-10-23 09:00:00,1108.03,1108.03,1098.47,1098.98
2023-10-23 10:00:00,1099.11,1099.67,1093.34,1093.62
2023-10-23 11:00:00,1093.54,1094.34,1089.85,1090.53
2023-10-23 13:00:00,1090.47,1095.67,1086.54,1091.81
2023-10-23 14:00:00,1091.89,1094.26,1087.2,1093.53
2023-10-24 09:00:00,1093.53,1099.88,1093.53,1096.14
2023-10-24 10:00:00,1096.05,1096.13,1089.85,1090.1
2023-10-24 11:00:00,1090.09,1093.43,1088.17,1092.96
2023-10-24 13:00:00,1092.76,1102.84,1092.49,1100.86
2023-10-24 14:00:00,1101.11,1107.3,1100.78,1105.9
2023-10-25 09:00:00,1105.9,1109.63,1105.9,1108.68
2023-10-25 10:00:00,1108.78,1111.39,1108.58,1109.82
2023-10-25 11:00:00,1109.83,1109.89,1109.17,1109.22
2023-10-25 13:00:00,1108.89,1110.69,1105.14,1106.64
2023-10-25 14:00:00,1106.69,1106.79,1100.64,1101.66
2023-10-26 09:00:00,1101.66,1101.66,1052.05,1059.68
2023-10-26 10:00:00,1059.6,1064.35,1057.01,1057.51
2023-10-26 11:00:00,1057.36,1057.41,1053.13,1057.04
2023-10-26 13:00:00,1056.47,1064.0,1052.52,1052.71
2023-10-26 14:00:00,1052.66,1058.26,1049.71,1055.45
2023-10-27 09:00:00,1055.45,1061.87,1048.77,1053.3
2023-10-27 10:00:00,1053.26,1054.89,1045.33,1048.4
2023-10-27 11:00:00,1048.3,1053.14,1048.3,1049.55
2023-10-27 13:00:00,1048.56,1049.59,1037.46,1043.96
2023-10-27 14:00:00,1044.18,1060.62,1044.18,1060.62
2023-10-30 09:00:00,1054.03,1056.89,1049.98,1050.09
2023-10-30 10:00:00,1050.04,1053.32,1048.29,1050.68
2023-10-30 11:00:00,1050.57,1054.68,1047.71,1053.12
2023-10-30 13:00:00,1052.37,1060.39,1048.97,1060.39
2023-10-30 14:00:00,1060.17,1060.22,1042.4,1042.4
2023-10-31 09:00:00,1042.4,1046.17,1039.5,1041.63
2023-10-31 10:00:00,1041.68,1041.75,1034.24,1037.84
2023-10-31 11:00:00,1037.85,1044.73,1037.48,1043.97
2023-10-31 13:00:00,1043.42,1043.86,1033.88,1038.12
2023-10-31 14:00:00,1038.32,1038.66,1025.03,1028.19
2023-11-01 09:00:00,1028.19,1034.74,1025.13,1026.17
2023-11-01 10:00:00,1026.05,1033.23,1021.43,1031.32
2023-11-01 11:00:00,1031.34,1031.41,1028.74,1029.26
2023-11-01 13:00:00,1028.6,1030.14,1020.01,1026.57
2023-11-01 14:00:00,1026.0,1039.66,1026.0,1039.66
2023-11-02 09:00:00,1039.66,1050.12,1039.66,1048.11
2023-11-02 10:00:00,1048.16,1055.51,1046.76,1055.51
2023-11-02 11:00:00,1055.62,1056.16,1052.84,1055.4
2023-11-02 13:00:00,1055.32,1063.36,1054.85,1063.32
2023-11-02 14:00:00,1063.4,1075.47,1063.4,1075.47
2023-11-03 09:00:00,1075.47,1081.61,1073.84,1077.29
2023-11-03 10:00:00,1077.2,1078.15,1074.1,1075.29
2023-11-03 11:00:00,1075.28,1075.28,1072.52,1074.0
2023-11-03 13:00:00,1072.87,1082.18,1071.11,1079.44
2023-11-03 14:00:00,1079.39,1082.23,1076.78,1076.78
2023-11-06 09:00:00,1076.78,1087.41,1076.78,1085.59
2023-11-06 10:00:00,1085.84,1088.8,1082.23,1082.38
2023-11-06 11:00:00,1082.58,1084.14,1082.41,1083.74
2023-11-06 13:00:00,1082.45,1088.6,1081.01,1087.28
2023-11-06 14:00:00,1087.27,1089.66,1083.24,1089.66
2023-11-07 09:00:00,1089.66,1089.66,1080.66,1087.26
2023-11-07 10:00:00,1087.22,1089.89,1085.73,1086.77
2023-11-07 11:00:00,1086.71,1087.04,1084.05,1084.24
2023-11-07 13:00:00,1083.61,1084.82,1080.09,1080.09
2023-11-07 14:00:00,1080.12,1084.05,1079.42,1080.29
2023-11-08 09:00:00,1080.29,1080.29,1076.55,1077.22
2023-11-08 10:00:00,1077.25,1081.13,1077.18,1080.93
2023-11-08 11:00:00,1081.13,1082.02,1078.86,1079.0
2023-11-08 13:00:00,1078.93,1093.6,1075.8,1091.35
2023-11-08 14:00:00,1091.79,1113.43,1091.23,1113.43
2023-11-09 09:00:00,1113.43,1121.27,1112.13,1117.08
2023-11-09 10:00:00,1117.14,1124.78,1116.69,1119.89
2023-11-09 11:00:00,1119.96,1120.06,1117.09,1119.57
2023-11-09 13:00:00,1118.63,1118.63,1112.44,1114.85
2023-11-09 14:00:00,1114.84,1121.38,1113.89,1113.89
2023-11-10 09:00:00,1113.89,1113.89,1102.91,1105.11
2023-11-10 10:00:00,1105.15,1108.43,1102.1,1105.96
2023-11-10 11:00:00,1105.99,1106.73,1105.1,1105.44
2023-11-10 13:00:00,1104.65,1116.02,1103.43,1110.48
2023-11-10 14:00:00,1110.52,1110.69,1101.23,1101.68
